pmb-id;HBAS-uri
32440;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb32440
29367;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29367
29263;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29263
32460;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb32460
30207;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb30207
30955;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb30955
29935;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29935
29716;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29716
30005;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb30005
30053;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb30053
30971;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb30971
29921;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29921
30057;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb30057
30201;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb30201
32562;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb32562
11028;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb11028
29985;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29985
30863;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb30863
30486;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb30486
29833;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29833
29899;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29899
30775;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb30775
30051;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb30051
30301;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb30301
29893;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29893
30945;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb30945
30205;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb30205
30717;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb30717
29863;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29863
29917;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29917
29853;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29853
28645;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb28645
29823;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29823
29771;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29771
29859;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29859
30203;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb30203
29905;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29905
30819;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb30819
30219;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb30219
11937;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb11937
32574;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb32574
20509;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb20509
32572;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb32572
29267;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29267
30313;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb30313
29923;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29923
30817;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb30817
770;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb770
12147;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb12147
32448;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb32448
29414;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29414
32672;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb32672
31377;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb31377
10765;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb10765
12254;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb12254
14637;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb14637
32602;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb32602
29666;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29666
31177;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb31177
29983;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29983
31853;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb31853
29885;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29885
29951;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29951
10863;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb10863
32674;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb32674
29873;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29873
8;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb8
12564;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb12564
2167;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb2167
12968;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb12968
10986;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb10986
29424;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29424
29275;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29275
29761;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29761
4054;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb4054
29268;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29268
12749;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb12749
32696;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb32696
29679;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29679
3784;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb3784
2147;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb2147
27839;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb27839
2989;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb2989
32570;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb32570
29348;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29348
4944;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb4944
17502;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb17502
